"Cap waktu","Jenis Kelamin","Usia Saat Ini","Daily_Screen_Time","Social_Media","Gaming","Work_Study","Sleep","Weekend_Screen_Time","Notifications","App_Opens","Strees_level","Addiction_label"
"2026/08/08 4:03:29 PM GMT+7","Laki - laki","26","7","5","3","6","8","12","45","20","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 4:05:43 PM GMT+7","Perempuan","27","8","6","0","7","8","13","95","30","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 4:09:37 PM GMT+7","Perempuan","24","8","7","2","5","7","15","80","20","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 4:17:13 PM GMT+7","Laki - laki","18","7","5","2","5","7","11","70","20","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 4:40:26 PM GMT+7","Perempuan","22","7","6","2","5","8","10","70","20","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 4:43:39 PM GMT+7","Laki - laki","25","9","5","3","4","8","12","85","25","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 4:48:03 PM GMT+7","Laki - laki","26","8","6","2","6","8","12","70","20","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 4:52:29 PM GMT+7","Perempuan","23","9","6","2","5","7","14","95","30","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 5:12:58 PM GMT+7","Laki - laki","20","9","3","7","5","6","12","50","20","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 8:35:42 PM GMT+7","Laki - laki","26","10","5","3","4","5","12","70","20","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 8:37:04 PM GMT+7","Perempuan","24","9","5","0","4","7","10","85","15","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 8:38:22 PM GMT+7","Laki - laki","38","6","4","0","4","8","7","60","15","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 8:40:02 PM GMT+7","Laki - laki","27","9","5","2","4","7","11","80","15","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 8:41:49 PM GMT+7","Laki - laki","19","9","4","6","4","6","12","55","20","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 8:43:58 PM GMT+7","Perempuan","25","8","5","3","4","8","14","85","25","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 8:46:10 PM GMT+7","Perempuan","23","10","5","2","4","7","12","95","25","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 8:47:41 PM GMT+7","Laki - laki","21","7","3","6","3","6","9","80","15","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 8:49:33 PM GMT+7","Perempuan","21","9","6","3","4","6","11","75","25","Low (Rendah / Jarang Merasa Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 12:05:22 PM GMT+7","Laki - laki","28","8","4","0","5","8","12","80","25","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 12:07:10 PM GMT+7","Laki - laki","26","9","6","2","6","5","13","95","20","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 2:43:29 PM GMT+7","Perempuan","27","8","6","1","4","9","12","75","20","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 2:45:27 PM GMT+7","Laki - laki","17","8","3","5","4","8","12","55","15","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 2:47:59 PM GMT+7","Laki - laki","20","11","6","5","4","9","15","90","27","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 2:51:23 PM GMT+7","Perempuan","19","8","6","2","5","8","13","90","20","Low (Rendah / Jarang Merasa Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 3:35:45 PM GMT+7","Laki - laki","21","4","2","1","5","8","4","120","35","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 3:37:35 PM GMT+7","Perempuan","24","6","3","1","4","8","14","100","30","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 3:39:10 PM GMT+7","Laki - laki","29","10","4","0","6","7","13","90","35","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 3:42:42 PM GMT+7","Perempuan","24","9","5","2","4","7","11","120","25","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 3:42:57 PM GMT+7","Laki - laki","26","8","4","2","4","7","12","95","30","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 3:47:11 PM GMT+7","Perempuan","25","9","5","1","5","9","11","85","20","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 3:47:13 PM GMT+7","Perempuan","23","10","4","2","5","9","12","70","25","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 3:50:49 PM GMT+7","Laki - laki","21","10","3","6","4","7","13","80","30","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 3:51:38 PM GMT+7","Perempuan","21","9","5","2","5","8","11","110","35","Medium (Sedang / Kadang-Kadang Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 3:56:08 PM GMT+7","Laki - laki","17","6 ","3","3","0","7","10","500","5","High (Tinggi / Sering Merasa Sangat Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 3:57:46 PM GMT+7","Laki - laki","19","5 ","3","0","2","7","7","50","5","Medium (Sedang / Kadang-Kadang Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 4:04:28 PM GMT+7","Laki - laki","22","10 ","4","6","3","8","14","200","20","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 4:08:23 PM GMT+7","Laki - laki","17","12 ","6","0","5","8","6","135","20","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 4:10:53 PM GMT+7","Laki - laki","22","14","10","4","6","7","14","30","30","Medium (Sedang / Kadang-Kadang Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 4:25:31 PM GMT+7","Laki - laki","23","13","7","2","4","8","7","70","20","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 4:43:11 PM GMT+7","Laki - laki","22","8","6","1","1","6","8","50","20","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 4:57:57 PM GMT+7","Laki - laki","22","10","8 ","1","9","6","7","200","5","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 4:59:07 PM GMT+7","Laki - laki","22","8","3","2","5","7","12","50","5","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 5:16:50 PM GMT+7","Laki - laki","21","10","10 ","6","8","8","9","80","5","Medium (Sedang / Kadang-Kadang Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 5:28:15 PM GMT+7","Laki - laki","22","3","1","1","3","8","5","50","30","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 6:26:50 PM GMT+7","Perempuan","22","5 ","1 ","0","4 ","8 ","8 ","250","10","Medium (Sedang / Kadang-Kadang Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 6:33:12 PM GMT+7","Laki - laki","23","6","2","2","2","8","8","20","8","Medium (Sedang / Kadang-Kadang Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 8:25:18 PM GMT+7","Perempuan","21","8","8","0","12","5","10","5","9","High (Tinggi / Sering Merasa Sangat Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 10:57:07 PM GMT+7","Laki - laki","25","10","7","3","3","8","12","130","10","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 10:58:14 PM GMT+7","Perempuan","23","8","6","4","4","7","11","90","20","Medium (Sedang / Kadang-Kadang Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/09 10:59:39 PM GMT+7","Laki - laki","19","9","6","5","5","7","13","80","15","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/09 11:17:35 PM GMT+7","Laki - laki","22","7","4","6","3","8","12","75","10","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/10 9:20:26 AM GMT+7","Laki - laki","18","8","5","5","3","7","12","70","10","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/10 9:21:05 AM GMT+7","Laki - laki","26","10","6","4","4","8","13","110","15","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/10 9:22:17 AM GMT+7","Perempuan","19","9","6","1","4","8","14","125","15","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/10 9:31:09 AM GMT+7","Laki - laki","28","9","6","2","4","7","13","135","15","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/10 9:52:14 AM GMT+7","Perempuan","21","10","6","2","3","8","12","115","10","Medium (Sedang / Kadang-Kadang Stres)","0 (Tidak / Pemakaian Normal)"
